Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 11/06/2020
Code Year    adjTFR
AUT  1985     1.735
AUT  1986     1.705
AUT  1987     1.647
AUT  1988     1.600
AUT  1989     1.664
AUT  1990     1.614
AUT  1991     1.578
AUT  1992     1.600
AUT  1993     1.717
AUT  1994     1.801
AUT  1995     1.739
AUT  1996     1.731
AUT  1997     1.585
AUT  1998     1.563
AUT  1999     1.519
AUT  2000     1.583
AUT  2001     1.606
AUT  2002     1.681
AUT  2003     1.587
AUT  2004     1.638
AUT  2005     1.728
AUT  2006     1.687
AUT  2007     1.613
AUT  2008     1.704
AUT  2009     1.710
AUT  2010     1.789
AUT  2011     1.778
AUT  2012     1.712
AUT  2013     1.628
AUT  2014     1.680
AUT  2015     1.648
AUT  2016     1.622
BLR  1965     2.097
BLR  1966     2.129
BLR  1967     2.301
BLR  1968     2.221
BLR  1969     1.998
BLR  1970     2.047
BLR  1971     2.166
BLR  1972     2.206
BLR  1973     2.106
BLR  1974     2.011
BLR  1975     1.969
BLR  1976     1.988
BLR  1977     1.911
BLR  1978     1.898
BLR  1979     1.881
BLR  1980     1.942
BLR  1981     1.987
BLR  1982     1.927
BLR  1983     2.092
BLR  1984     1.974
BLR  1985     2.106
BLR  1986     2.106
BLR  1987     1.921
BLR  1988     2.023
BLR  1989     1.781
BLR  1990     1.715
BLR  1991     1.695
BLR  1992     1.706
BLR  1993     1.687
BLR  1994     1.662
BLR  1995     1.556
BLR  1996     1.422
BLR  1997     1.378
BLR  1998     1.505
BLR  1999     1.583
BLR  2000     1.572
BLR  2001     1.521
BLR  2002     1.501
BLR  2003     1.465
BLR  2004     1.500
BLR  2005     1.458
BLR  2006     1.549
BLR  2007     1.675
BLR  2008     1.739
BLR  2009     1.788
BLR  2010     1.684
BLR  2011     1.621
BLR  2012     1.753
BLR  2013     1.860
BLR  2014     1.912
BLR  2015     1.915
BGR  1948     2.604
BGR  1949     2.763
BGR  1950     2.822
BGR  1951     2.173
BGR  1952     2.348
BGR  1953     2.435
BGR  1954     2.266
BGR  1955     2.246
BGR  1956     2.129
BGR  1957     2.098
BGR  1958     2.110
BGR  1959     2.044
BGR  1960     2.233
BGR  1961     2.283
BGR  1962     2.199
BGR  1963     2.137
BGR  1964     2.117
BGR  1965     2.009
BGR  1966     1.956
BGR  1967     1.988
BGR  1968     2.330
BGR  1969     2.304
BGR  1970     2.099
BGR  1971     2.047
BGR  1972     1.976
BGR  1973     2.104
BGR  1974     2.267
BGR  1975     2.103
BGR  1976     2.062
BGR  1977     2.058
BGR  1978     2.022
BGR  1979     2.029
BGR  1980     2.062
BGR  1981     1.967
BGR  1982     1.943
BGR  1983     2.043
BGR  1984     2.011
BGR  1985     2.040
BGR  1986     2.100
BGR  1987     1.959
BGR  1988     1.988
BGR  1989     1.948
BGR  1990     1.724
BGR  1991     1.616
BGR  1992     1.651
BGR  1993     1.634
BGR  1994     1.643
BGR  1995     1.521
BGR  1996     1.602
BGR  1997     1.417
BGR  1998     1.271
BGR  1999     1.626
BGR  2000     1.812
BGR  2001     1.452
BGR  2002     1.543
BGR  2003     1.577
BGR  2004     1.729
BGR  2005     1.785
BGR  2006     1.696
BGR  2007     1.727
BGR  2008     1.638
CAN  1945     2.874
CAN  1946     3.076
CAN  1947     3.123
CAN  1948     2.981
CAN  1949     3.117
CAN  1950     3.167
CAN  1951     3.214
CAN  1952     3.347
CAN  1953     3.442
CAN  1954     3.546
CAN  1955     3.490
CAN  1956     3.488
CAN  1957     3.599
CAN  1958     3.540
CAN  1959     3.610
CAN  1960     3.607
CAN  1961     3.588
CAN  1962     3.647
CAN  1963     3.986
CAN  1964     4.103
CAN  1965     3.652
CAN  1966     3.115
CAN  1967     2.782
CAN  1968     2.652
CAN  1969     2.554
CAN  1970     2.436
CAN  1971     2.362
CAN  1972     2.211
CAN  1973     2.099
CAN  1974     1.935
CAN  1975     1.903
CAN  1976     2.021
CAN  1977     1.999
CAN  1978     1.901
CAN  1979     1.878
CAN  1980     1.873
CAN  1981     1.799
CAN  1982     1.800
CAN  1983     1.863
CAN  1984     1.819
CAN  1985     1.776
CAN  1986     1.765
CAN  1987     1.759
CAN  1988     1.716
CAN  1989     1.749
CAN  1990     1.793
CAN  1991     1.813
CAN  1992     1.893
CAN  1993     1.829
CAN  1994     1.838
CAN  1995     1.930
CAN  1996     1.937
CAN  1997     1.744
CAN  1998     1.743
CAN  1999     1.820
CAN  2000     1.817
CAN  2001     1.858
CAN  2002     1.820
CAN  2003     1.859
CAN  2004     1.762
CAN  2005     1.706
CAN  2006     1.725
CAN  2007     1.747
CAN  2008     1.802
