Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 11/06/2020
Code Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
AUT  1985     1.735     0.793     0.589     0.233     0.079     0.042
AUT  1986     1.705     0.787     0.573     0.222     0.081     0.042
AUT  1987     1.647     0.783     0.544     0.212     0.070     0.037
AUT  1988     1.600     0.751     0.542     0.209     0.067     0.030
AUT  1989     1.664     0.761     0.579     0.226     0.066     0.033
AUT  1990     1.614     0.721     0.586     0.213     0.062     0.033
AUT  1991     1.578     0.733     0.549     0.198     0.070     0.029
AUT  1992     1.600     0.775     0.520     0.213     0.063     0.028
AUT  1993     1.717     0.854     0.573     0.206     0.057     0.027
AUT  1994     1.801     0.908     0.608     0.196     0.062     0.027
AUT  1995     1.739     0.877     0.579     0.198     0.061     0.024
AUT  1996     1.731     0.808     0.620     0.215     0.062     0.025
AUT  1997     1.585     0.750     0.571     0.188     0.050     0.027
AUT  1998     1.563     0.765     0.567     0.164     0.045     0.021
AUT  1999     1.519     0.727     0.545     0.179     0.049     0.019
AUT  2000     1.583     0.737     0.583     0.197     0.048     0.018
AUT  2001     1.606     0.785     0.577     0.180     0.047     0.017
AUT  2002     1.681     0.828     0.570     0.206     0.057     0.020
AUT  2003     1.587     0.768     0.550     0.192     0.053     0.024
AUT  2004     1.638     0.808     0.581     0.174     0.053     0.022
AUT  2005     1.728     0.860     0.591     0.197     0.054     0.025
AUT  2006     1.687     0.840     0.550     0.215     0.062     0.021
AUT  2007     1.613     0.764     0.559     0.210     0.059     0.022
AUT  2008     1.704     0.803     0.634     0.190     0.050     0.027
AUT  2009     1.710     0.867     0.579     0.189     0.053     0.021
AUT  2010     1.789     0.919     0.592     0.195     0.058     0.025
AUT  2011     1.778     0.891     0.603     0.194     0.060     0.029
AUT  2012     1.712     0.846     0.592     0.199     0.051     0.023
AUT  2013     1.628     0.810     0.581     0.175     0.041     0.022
AUT  2014     1.680     0.856     0.583     0.172     0.046     0.023
AUT  2015     1.648     0.848     0.568     0.163     0.048     0.021
AUT  2016     1.622     0.791     0.574     0.182     0.051     0.024
BLR  1965     2.097     0.834     0.648     0.317     0.172     0.126
BLR  1966     2.129     0.806     0.628     0.385     0.167     0.144
BLR  1967     2.301     0.919     0.726     0.389     0.141     0.126
BLR  1968     2.221     0.890     0.783     0.301     0.130     0.118
BLR  1969     1.998     0.785     0.693     0.297     0.122     0.100
BLR  1970     2.047     0.817     0.721     0.298     0.115     0.096
BLR  1971     2.166     0.923     0.737     0.295     0.115     0.096
BLR  1972     2.206     0.963     0.730     0.298     0.118     0.096
BLR  1973     2.106     0.918     0.708     0.286     0.105     0.089
BLR  1974     2.011     0.897     0.687     0.249     0.096     0.083
BLR  1975     1.969     0.903     0.669     0.225     0.088     0.083
BLR  1976     1.988     0.916     0.693     0.222     0.082     0.075
BLR  1977     1.911     0.903     0.678     0.183     0.072     0.075
BLR  1978     1.898     0.923     0.686     0.164     0.059     0.066
BLR  1979     1.881     0.921     0.691     0.159     0.053     0.057
BLR  1980     1.942     0.989     0.683     0.160     0.050     0.060
BLR  1981     1.987     0.989     0.721     0.168     0.055     0.054
BLR  1982     1.927     0.921     0.754     0.159     0.046     0.046
BLR  1983     2.092     0.943     0.864     0.191     0.049     0.045
BLR  1984     1.974     0.947     0.751     0.191     0.044     0.042
BLR  1985     2.106     1.019     0.798     0.196     0.047     0.046
BLR  1986     2.106     0.975     0.800     0.214     0.061     0.056
BLR  1987     1.921     0.933     0.717     0.179     0.045     0.047
BLR  1988     2.023     1.016     0.755     0.168     0.047     0.037
BLR  1989     1.781     0.911     0.673     0.131     0.038     0.028
BLR  1990     1.715     0.930     0.605     0.116     0.032     0.032
BLR  1991     1.695     0.982     0.529     0.116     0.032     0.035
BLR  1992     1.706     0.960     0.562     0.123     0.034     0.028
BLR  1993     1.687     0.893     0.612     0.122     0.034     0.026
BLR  1994     1.662     0.901     0.588     0.108     0.034     0.031
BLR  1995     1.556     0.914     0.492     0.098     0.027     0.024
BLR  1996     1.422     0.842     0.445     0.091     0.024     0.020
BLR  1997     1.378     0.783     0.453     0.094     0.027     0.022
