Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 11/06/2020
Code Year    ARDY   Cohort        ASFR
AUT  1951     12-    1939+     0.00000
AUT  1951     13     1938      0.00000
AUT  1951     14     1937      0.00015
AUT  1951     15     1936      0.00100
AUT  1951     16     1935      0.00433
AUT  1951     17     1934      0.01624
AUT  1951     18     1933      0.03809
AUT  1951     19     1932      0.06350
AUT  1951     20     1931      0.09150
AUT  1951     21     1930      0.10584
AUT  1951     22     1929      0.11308
AUT  1951     23     1928      0.12352
AUT  1951     24     1927      0.11961
AUT  1951     25     1926      0.12234
AUT  1951     26     1925      0.11879
AUT  1951     27     1924      0.11677
AUT  1951     28     1923      0.11016
AUT  1951     29     1922      0.10558
AUT  1951     30     1921      0.10443
AUT  1951     31     1920      0.09323
AUT  1951     32     1919      0.08557
AUT  1951     33     1918      0.07211
AUT  1951     34     1917      0.06677
AUT  1951     35     1916      0.05969
AUT  1951     36     1915      0.05383
AUT  1951     37     1914      0.05124
AUT  1951     38     1913      0.04309
AUT  1951     39     1912      0.03748
AUT  1951     40     1911      0.03106
AUT  1951     41     1910      0.02354
AUT  1951     42     1909      0.01836
AUT  1951     43     1908      0.01327
AUT  1951     44     1907      0.00751
AUT  1951     45     1906      0.00517
AUT  1951     46     1905      0.00246
AUT  1951     47     1904      0.00118
AUT  1951     48     1903      0.00058
AUT  1951     49     1902      0.00031
AUT  1951     50     1901      0.00016
AUT  1951     51     1900      0.00015
AUT  1951     52     1899      0.00002
AUT  1951     53     1898      0.00000
AUT  1951     54     1897      0.00000
AUT  1951     55+    1896-     0.00000
AUT  1952     12-    1940+     0.00000
AUT  1952     13     1939      0.00000
AUT  1952     14     1938      0.00018
AUT  1952     15     1937      0.00075
AUT  1952     16     1936      0.00446
AUT  1952     17     1935      0.01597
AUT  1952     18     1934      0.03710
AUT  1952     19     1933      0.06554
AUT  1952     20     1932      0.09551
AUT  1952     21     1931      0.10655
AUT  1952     22     1930      0.11858
AUT  1952     23     1929      0.12457
AUT  1952     24     1928      0.12633
AUT  1952     25     1927      0.12519
AUT  1952     26     1926      0.12422
AUT  1952     27     1925      0.12186
AUT  1952     28     1924      0.11431
AUT  1952     29     1923      0.10619
AUT  1952     30     1922      0.10340
AUT  1952     31     1921      0.09261
AUT  1952     32     1920      0.08624
AUT  1952     33     1919      0.07743
AUT  1952     34     1918      0.07132
AUT  1952     35     1917      0.06027
AUT  1952     36     1916      0.05391
AUT  1952     37     1915      0.04902
AUT  1952     38     1914      0.04367
AUT  1952     39     1913      0.03696
AUT  1952     40     1912      0.02953
AUT  1952     41     1911      0.02359
AUT  1952     42     1910      0.01830
AUT  1952     43     1909      0.01232
AUT  1952     44     1908      0.00773
AUT  1952     45     1907      0.00452
AUT  1952     46     1906      0.00256
AUT  1952     47     1905      0.00099
AUT  1952     48     1904      0.00036
AUT  1952     49     1903      0.00023
AUT  1952     50     1902      0.00010
AUT  1952     51     1901      0.00007
AUT  1952     52     1900      0.00000
AUT  1952     53     1899      0.00000
AUT  1952     54     1898      0.00000
AUT  1952     55+    1897-     0.00000
AUT  1953     12-    1941+     0.00000
AUT  1953     13     1940      0.00000
AUT  1953     14     1939      0.00016
AUT  1953     15     1938      0.00084
AUT  1953     16     1937      0.00468
AUT  1953     17     1936      0.01591
AUT  1953     18     1935      0.03714
AUT  1953     19     1934      0.06598
AUT  1953     20     1933      0.09774
AUT  1953     21     1932      0.11047
AUT  1953     22     1931      0.12566
AUT  1953     23     1930      0.12938
AUT  1953     24     1929      0.12889
AUT  1953     25     1928      0.13164
AUT  1953     26     1927      0.12681
AUT  1953     27     1926      0.12164
AUT  1953     28     1925      0.11429
AUT  1953     29     1924      0.11187
